fecha_mes,tpm_prom,tpm_cierre,ipc,imacec,tasa_desempleo,dolar_prom,dolar_cierre,libra_cobre_prom,libra_cobre_cierre
2006-11-01,5.25,5.25,2.092317521,70.667382582297,,527.4371428571428,529.29,3.18841513199673,3.18841513199673
2006-12-01,5.25,5.25,2.556428226,74.587020892956,,527.5821052631578,534.43,3.02781003356618,3.02781003356618
2007-01-01,5.090909090909091,5.0,2.788472217,67.845191279381,,540.51,545.18,2.57174090537966,2.57174090537966
2007-02-01,5.0,5.0,2.70405957,65.116565114977,,542.2665,538.42,2.57482082917536,2.57482082917536
2007-03-01,5.0,5.0,2.542537146,73.244219190879,,538.4877272727273,539.37,2.92682572802322,2.92682572802322
2007-04-01,5.0,5.0,2.470664793,71.488095617641,,532.301,527.08,3.52284768211921,3.52284768211921
2007-05-01,5.0,5.0,2.858625626,71.440798702796,,522.0161904761904,527.52,3.48460945296199,3.48460945296199
2007-06-01,5.0,5.0,3.214180008,70.072986345226,,526.7190476190476,527.46,3.39103692279779,3.39103692279779
2007-07-01,5.15,5.25,3.803217661,66.805588387192,,519.8045,523.08,3.61694184886147,3.61694184886147
2007-08-01,5.420454545454546,5.5,4.646436164,69.297823047217,,522.9227272727272,524.63,3.40810124285585,3.40810124285585
2007-09-01,5.617647058823529,5.75,5.797656061,68.798380919881,,516.9111764705882,511.72,3.46955456772204,3.46955456772204
2007-10-01,5.75,5.75,6.397966379,73.415997744712,,501.4427272727273,494.64,3.63260001814388,3.63260001814388
2007-11-01,5.75,5.75,7.392562763,74.134087787802,,506.9514285714286,508.47,3.160074389912,3.160074389912
2007-12-01,5.881578947368421,6.0,7.784337386,78.605712387657,,499.2768421052631,495.82,2.98814750975234,2.98814750975234
2008-01-01,6.170454545454546,6.25,7.420073873,72.021359084329,,480.8963636363636,465.3,3.20285766125374,3.20285766125374
2008-02-01,6.25,6.25,8.03343366,69.921220421093,,467.2171428571428,458.02,3.5778327134174,3.5778327134174
2008-03-01,6.25,6.25,8.461211311,76.844728447913,,442.942,439.09,3.82803683207838,3.82803683207838
2008-04-01,6.25,6.25,8.226895926,75.053531974984,,446.4336363636364,459.16,3.93945840515286,3.93945840515286
2008-05-01,6.25,6.25,8.800994834,74.871055326447,,470.1,479.66,3.80239045631861,3.80239045631861
2008-06-01,6.583333333333333,6.75,9.393638867,73.741646042606,,493.612380952381,520.14,3.74698357978772,3.74698357978772
2008-07-01,7.068181818181818,7.25,9.405377989,71.175614376829,,502.2413636363636,502.78,3.81658350721219,3.81658350721219
2008-08-01,7.5,7.75,9.259082708,70.786547912996,,516.702,516.47,3.46307720221355,3.46307720221355
2008-09-01,8.15,8.25,9.196728162,70.220106541471,,530.17,552.47,3.17103329402159,3.17103329402159
2008-10-01,8.25,8.25,9.828114553,75.251925378092,,618.3945454545454,664.96,2.23428286310442,2.23428286310442
2008-11-01,8.25,8.25,8.867050118,74.105553698677,,651.5055,659.43,1.68602013970788,1.68602013970788
2008-12-01,8.25,8.25,7.091686097,78.492054985693,,649.3165,629.11,1.39344098702713,1.39344098702713
2009-01-01,7.488095238095238,7.25,6.306158228,71.012969470127,,623.0076190476191,612.43,1.46089540052617,1.46089540052617
2009-02-01,5.875,4.75,4.513821512,67.35317472083,,605.998,595.76,1.50354712873084,1.50354712873084
2009-03-01,3.272727272727273,2.25,3.698842423,75.47801242437,,592.9313636363636,582.1,1.7008754422571,1.7008754422571
2009-04-01,1.916666666666667,1.75,3.16815817,73.301019024223,,583.1757142857143,588.62,1.99879796788533,1.99879796788533
2009-05-01,1.355263157894737,1.25,1.771404867,72.779489795381,,565.717894736842,564.64,2.07231697360065,2.07231697360065
2009-06-01,1.035714285714286,0.75,0.61782345,71.269542073,,553.08,529.07,2.27431280050803,2.27431280050803
2009-07-01,0.5795454545454546,0.5,-0.935828446,68.749135142568,,540.4204545454545,541.9,2.36575342465753,2.36575342465753
2009-08-01,0.5,0.5,-2.302769812,71.488672153271,,546.8842857142857,550.64,2.79656173455502,2.79656173455502
2009-09-01,0.5,0.5,-2.230925048,70.422142442318,,549.0709523809523,546.07,2.8106822099247,2.8106822099247
2009-10-01,0.5,0.5,-3.094779135,75.065190753094,,545.8328571428572,531.74,2.85220901750884,2.85220901750884
2009-11-01,0.5,0.5,-3.359957536,76.253120201958,,507.7814285714286,495.84,3.02803229610814,3.02803229610814
2009-12-01,0.5,0.5,-2.578053643,79.446361235564,,501.45,506.43,3.1668828812483,3.1668828812483
2010-01-01,0.5,0.5,-1.320588228,72.478647028526,,500.6625,531.75,3.3503810215005,3.3503810215005
2010-02-01,0.5,0.5,0.258670818,69.784255933159,,532.557,529.69,3.1063140705797,3.1063140705797
