actor,topico_modelo,peso_medio,peso_total,n_dominante,ranking
Camilo Carrasco Alfonso,tema_nmf_06,0.016096240736794845,0.06438496294717938,0,12
Camilo Carrasco Alfonso,tema_nmf_13,0.01054434994272324,0.04217739977089296,0,13
Camilo Carrasco Alfonso,tema_nmf_11,0.0001274502333026793,0.0005098009332107172,0,14
Claudio Raddatz Kiefer,tema_nmf_02,0.1718069052398939,3.4361381047978776,5,1
Claudio Raddatz Kiefer,tema_nmf_04,0.13183554201373102,2.6367108402746204,4,2
Claudio Raddatz Kiefer,tema_nmf_01,0.11291671530067582,2.2583343060135164,2,3
Claudio Raddatz Kiefer,tema_nmf_08,0.08818326865907297,1.7636653731814596,0,4
Claudio Raddatz Kiefer,tema_nmf_10,0.08428387564004484,1.685677512800897,2,5
Claudio Raddatz Kiefer,tema_nmf_12,0.0634698219531995,1.26939643906399,1,6
Claudio Raddatz Kiefer,tema_nmf_13,0.06169544024694943,1.2339088049389886,3,7
Claudio Raddatz Kiefer,tema_nmf_09,0.05861431031388957,1.1722862062777915,1,8
Claudio Raddatz Kiefer,tema_nmf_05,0.058307741013367755,1.166154820267355,0,9
Claudio Raddatz Kiefer,tema_nmf_03,0.05448969524833519,1.0897939049667038,1,10
Claudio Raddatz Kiefer,tema_nmf_07,0.041904195232253715,0.8380839046450743,0,11
Claudio Raddatz Kiefer,tema_nmf_14,0.0329353288675004,0.6587065773500079,1,12
Claudio Raddatz Kiefer,tema_nmf_11,0.022724513100171352,0.454490262003427,0,13
Claudio Raddatz Kiefer,tema_nmf_06,0.016832647170914494,0.3366529434182899,0,14
Claudio Soto Gamboa,tema_nmf_01,0.22321517779223882,180.35786365612896,267,1
Claudio Soto Gamboa,tema_nmf_02,0.14050862697749572,113.53097059781655,114,2
Claudio Soto Gamboa,tema_nmf_07,0.13011660282718482,105.13421508436534,99,3
Claudio Soto Gamboa,tema_nmf_03,0.10380771491818322,83.87663365389204,70,4
Claudio Soto Gamboa,tema_nmf_10,0.08908515296789211,71.98080359805682,78,5
Claudio Soto Gamboa,tema_nmf_09,0.08563790780499883,69.19542950643905,67,6
Claudio Soto Gamboa,tema_nmf_12,0.047953009562018444,38.7460317261109,30,7
Claudio Soto Gamboa,tema_nmf_11,0.042321246836241305,34.195567443682975,18,8
Claudio Soto Gamboa,tema_nmf_14,0.03473330972372522,28.06451425676998,26,9
Claudio Soto Gamboa,tema_nmf_08,0.032594633052962924,26.336463506794043,4,10
Claudio Soto Gamboa,tema_nmf_05,0.021472222105429116,17.349555461186725,10,11
Claudio Soto Gamboa,tema_nmf_06,0.02142436613659393,17.310887838367897,13,12
Claudio Soto Gamboa,tema_nmf_04,0.017138452691623205,13.84786977483155,8,13
Claudio Soto Gamboa,tema_nmf_13,0.00875395284103609,7.073193895557162,4,14
Consejo del Banco Central de Chile,tema_nmf_05,0.3604623215880635,181.31254775879594,270,1
Consejo del Banco Central de Chile,tema_nmf_06,0.2635697343740047,132.57557639012438,192,2
Consejo del Banco Central de Chile,tema_nmf_04,0.07526320056974777,37.85738988658313,7,3
Consejo del Banco Central de Chile,tema_nmf_14,0.06174583199574679,31.058153493860637,13,4
Consejo del Banco Central de Chile,tema_nmf_09,0.052584153113871546,26.449829016277388,16,5
Consejo del Banco Central de Chile,tema_nmf_07,0.04161696872393142,20.933335268137505,1,6
Consejo del Banco Central de Chile,tema_nmf_08,0.039410382255092795,19.823422274311675,3,7
Consejo del Banco Central de Chile,tema_nmf_01,0.026958382887564178,13.560066592444782,0,8
Consejo del Banco Central de Chile,tema_nmf_03,0.023768750858218213,11.955681681683762,0,9
Consejo del Banco Central de Chile,tema_nmf_12,0.020633839013153472,10.378821023616197,0,10
Consejo del Banco Central de Chile,tema_nmf_02,0.013329085959999177,6.7045302378795855,0,11
Consejo del Banco Central de Chile,tema_nmf_11,0.01123842996821937,5.652930274014343,1,12
Consejo del Banco Central de Chile,tema_nmf_13,0.006591691119187369,3.315620632951247,0,13
Consejo del Banco Central de Chile,tema_nmf_10,0.002827227573199643,1.4220954693194203,0,14
Diego Gianelli Gómez,tema_nmf_13,0.12987653107122282,8.052344926415815,8,1
Diego Gianelli Gómez,tema_nmf_08,0.12018733765712111,7.451614934741509,17,2
Diego Gianelli Gómez,tema_nmf_07,0.12015055845892239,7.449334624453188,4,3
Diego Gianelli Gómez,tema_nmf_03,0.11297728102445379,7.004591423516135,12,4
Diego Gianelli Gómez,tema_nmf_02,0.11037965399799501,6.843538547875691,5,5
Diego Gianelli Gómez,tema_nmf_01,0.09435913103280885,5.850266124034149,6,6
Diego Gianelli Gómez,tema_nmf_12,0.062123068994616545,3.8516302776662257,4,7
Diego Gianelli Gómez,tema_nmf_09,0.05516789836916145,3.42040969888801,1,8
Diego Gianelli Gómez,tema_nmf_10,0.04729031237336835,2.931999367148838,1,9
Diego Gianelli Gómez,tema_nmf_11,0.04676405890127085,2.8993716518787926,1,10
Diego Gianelli Gómez,tema_nmf_05,0.038995013530637626,2.417690838899533,0,11
Diego Gianelli Gómez,tema_nmf_14,0.03654413182123665,2.265736172916672,1,12
Diego Gianelli Gómez,tema_nmf_04,0.01549154572760288,0.9604758351113786,2,13
Diego Gianelli Gómez,tema_nmf_06,0.009693477039581637,0.6009955764540615,0,14
Elías Albagli Iruretagoyena,tema_nmf_02,0.31059224425199405,0.6211844885039881,1,1
Elías Albagli Iruretagoyena,tema_nmf_14,0.14620861902796897,0.29241723805593794,0,2
Elías Albagli Iruretagoyena,tema_nmf_01,0.11772698610851906,0.23545397221703812,0,3
Elías Albagli Iruretagoyena,tema_nmf_07,0.10695684581836742,0.21391369163673485,0,4
Elías Albagli Iruretagoyena,tema_nmf_12,0.08419058800019098,0.16838117600038197,1,5
Elías Albagli Iruretagoyena,tema_nmf_09,0.07157140309577245,0.1431428061915449,0,6
Elías Albagli Iruretagoyena,tema_nmf_03,0.0681472523493429,0.1362945046986858,0,7
Elías Albagli Iruretagoyena,tema_nmf_08,0.03012912317733956,0.06025824635467912,0,8
Elías Albagli Iruretagoyena,tema_nmf_04,0.023161813237051486,0.04632362647410297,0,9
Elías Albagli Iruretagoyena,tema_nmf_13,0.01844234782831755,0.0368846956566351,0,10
Elías Albagli Iruretagoyena,tema_nmf_06,0.014314759464845969,0.028629518929691938,0,11
Elías Albagli Iruretagoyena,tema_nmf_11,0.005100426821818673,0.010200853643637346,0,12
Elías Albagli Iruretagoyena,tema_nmf_10,0.003457590818470971,0.006915181636941942,0,13
Elías Albagli Iruretagoyena,tema_nmf_05,0.0,0.0,0,14
Enrique Marshall Rivera,tema_nmf_02,0.16078333357720292,77.65835011778901,116,1
Enrique Marshall Rivera,tema_nmf_01,0.13435727061642339,64.89456170773249,69,2
Enrique Marshall Rivera,tema_nmf_08,0.11841500948441168,57.19444958097084,69,3
Enrique Marshall Rivera,tema_nmf_12,0.08098487586291435,39.11569504178763,39,4
Enrique Marshall Rivera,tema_nmf_09,0.08045082085805669,38.85774647444138,26,5
Enrique Marshall Rivera,tema_nmf_03,0.07590712242354,36.66314013056982,30,6
Enrique Marshall Rivera,tema_nmf_07,0.068948350050545,33.30205307441324,27,7
Enrique Marshall Rivera,tema_nmf_05,0.0647436953001376,31.27120482996646,21,8
Enrique Marshall Rivera,tema_nmf_10,0.05328103161773648,25.73473827136672,17,9
Enrique Marshall Rivera,tema_nmf_13,0.05007853552415646,24.187932658167572,22,10
Enrique Marshall Rivera,tema_nmf_14,0.04145509606209279,20.022811397990818,28,11
Enrique Marshall Rivera,tema_nmf_04,0.03654699936551358,17.652200693543058,11,12
Enrique Marshall Rivera,tema_nmf_06,0.02135411108745459,10.314035655240568,3,13
