anio,topico_modelo,peso_medio,peso_total,n_dominante,ranking
2010,tema_nmf_09,0.07107930669629771,81.67012339404607,69,8
2010,tema_nmf_06,0.061298771841411005,70.43228884578124,82,9
2010,tema_nmf_12,0.05853443022365915,67.25606032698437,76,10
2010,tema_nmf_05,0.054759617980913916,62.91880106007009,44,11
2010,tema_nmf_14,0.043761751612898546,50.28225260322043,63,12
2010,tema_nmf_11,0.033532655435885746,38.529021095832725,32,13
2010,tema_nmf_13,0.03139082585030315,36.06805890199832,32,14
2011,tema_nmf_01,0.12132646415643668,128.84870493413575,146,1
2011,tema_nmf_03,0.10869178934135533,115.43068028051935,128,2
2011,tema_nmf_02,0.09849435229044444,104.601002132452,106,3
2011,tema_nmf_08,0.09190156355878566,97.59946049943038,141,4
2011,tema_nmf_04,0.07234157650963065,76.82675425322775,80,5
2011,tema_nmf_09,0.07076889340223604,75.15656479317467,54,6
2011,tema_nmf_11,0.06762693432091114,71.81980424880764,59,7
2011,tema_nmf_07,0.06651570069019452,70.63967413298658,39,8
2011,tema_nmf_06,0.059088123225444794,62.75158686542237,76,9
2011,tema_nmf_10,0.05563108813602901,59.08021560046281,58,10
2011,tema_nmf_05,0.05241579211725117,55.66557122852074,46,11
2011,tema_nmf_12,0.04917542817817582,52.22430472522272,43,12
2011,tema_nmf_13,0.041866567522712166,44.46229470912032,35,13
2011,tema_nmf_14,0.038506009036268274,40.8933815965169,51,14
2012,tema_nmf_01,0.1328308794159733,120.74326938911972,158,1
2012,tema_nmf_02,0.10903667855609493,99.1143408074903,104,2
2012,tema_nmf_11,0.0832118658890538,75.6395860931499,67,3
2012,tema_nmf_08,0.0809807703336796,73.61152023331476,86,4
2012,tema_nmf_03,0.07852851084513313,71.38241635822601,61,5
2012,tema_nmf_05,0.07600060696969471,69.0845517354525,64,6
2012,tema_nmf_07,0.07258972243264183,65.98405769127143,49,7
2012,tema_nmf_04,0.07154371209641491,65.03323429564115,77,8
2012,tema_nmf_06,0.06258749694546395,56.892034723426725,69,9
2012,tema_nmf_09,0.055901704561258043,50.81464944618356,36,10
2012,tema_nmf_13,0.047400162115215534,43.08674736273092,47,11
2012,tema_nmf_12,0.04580424569416592,41.63605933599682,29,12
2012,tema_nmf_10,0.042704082713925666,38.81801118695843,30,13
2012,tema_nmf_14,0.022177691244265982,20.159521341037777,32,14
2013,tema_nmf_01,0.13504782953037858,110.19902889678893,175,1
2013,tema_nmf_02,0.09668729270664975,78.8968308486262,68,2
2013,tema_nmf_05,0.09238229560087022,75.3839532103101,68,3
2013,tema_nmf_11,0.08509171957525613,69.434843173409,64,4
2013,tema_nmf_08,0.08215004642043486,67.03443787907484,80,5
2013,tema_nmf_04,0.07879453572220899,64.29634114932253,65,6
2013,tema_nmf_07,0.07184051973639918,58.62186410490173,40,7
2013,tema_nmf_03,0.05961838082422701,48.64859875256924,43,8
2013,tema_nmf_06,0.057851544180381756,47.20686005119151,50,9
2013,tema_nmf_10,0.05420155606889905,44.22846975222163,42,10
2013,tema_nmf_12,0.053772800870047446,43.87860550995872,36,11
2013,tema_nmf_09,0.04964701791462559,40.51196661833448,22,12
2013,tema_nmf_13,0.047988712004011426,39.158788995273326,44,13
2013,tema_nmf_14,0.028798297865217842,23.49941105801776,19,14
2014,tema_nmf_01,0.11824528537381357,88.44747345961255,109,1
2014,tema_nmf_11,0.09527273564568026,71.26400626296883,71,2
2014,tema_nmf_02,0.09226377650564556,69.01330482622288,61,3
2014,tema_nmf_05,0.08430230389267299,63.05812331171939,56,4
2014,tema_nmf_04,0.08235287531813383,61.5999507379641,68,5
2014,tema_nmf_07,0.08099932471746987,60.587494888667464,48,6
2014,tema_nmf_06,0.06913320409124507,51.71163666025131,57,7
2014,tema_nmf_08,0.06892722587775395,51.55756495655995,72,8
2014,tema_nmf_09,0.06342266272977834,47.4401517218742,29,9
2014,tema_nmf_03,0.05919133235179906,44.2751165991457,41,10
2014,tema_nmf_12,0.05046661226260263,37.749025972426764,31,11
2014,tema_nmf_10,0.04937002754473993,36.92878060346547,35,12
2014,tema_nmf_14,0.045050777593714626,33.69798164009854,38,13
2014,tema_nmf_13,0.04100185609495034,30.669388359022854,32,14
2015,tema_nmf_01,0.12145328378780841,99.7131459897907,125,1
2015,tema_nmf_02,0.10847570459153083,89.05855346964681,94,2
2015,tema_nmf_11,0.08784867060911844,72.12375857008624,68,3
2015,tema_nmf_07,0.08698487456118126,71.41458201472982,46,4
2015,tema_nmf_09,0.08221532488838795,67.49878173336651,67,5
2015,tema_nmf_04,0.07152350011751658,58.720793596481116,61,6
2015,tema_nmf_05,0.0698289070432328,57.32953268249413,48,7
2015,tema_nmf_03,0.06961055867427222,57.15026867157749,60,8
2015,tema_nmf_10,0.06388803455991565,52.45207637369075,61,9
2015,tema_nmf_06,0.059221537052194864,48.62088191985198,59,10
2015,tema_nmf_08,0.058747858188237356,48.23199157254287,51,11
2015,tema_nmf_12,0.04632398120665555,38.031988570664204,31,12
2015,tema_nmf_13,0.039873914198991105,32.7364835573717,34,13
2015,tema_nmf_14,0.026695689741419833,21.917161277705684,16,14
