anio,topico_humano,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
2006,actividad_interna,42.0,0.0,0.0,42.0,0.0,0.0,1.0,0.0,,0.0,0.018978683936425905
2006,acuerdo_comunicado,77.0,30.0,2.0,45.0,0.38961038961038963,0.025974025974025976,0.5844155844155844,0.36363636363636365,0.875,0.4155844155844156,0.30713107164586223
2006,apertura_cierre,27.0,2.0,0.0,25.0,0.07407407407407407,0.0,0.9259259259259259,0.07407407407407407,1.0,0.07407407407407407,0.035437841337049955
2006,debate,22.0,0.0,0.0,22.0,0.0,0.0,1.0,0.0,,0.0,0.007434614888488498
2006,decision_tpm,49.0,20.0,1.0,28.0,0.40816326530612246,0.02040816326530612,0.5714285714285714,0.3877551020408163,0.9047619047619048,0.42857142857142855,0.36023018731402423
2006,escenario_internacional,110.0,5.0,0.0,105.0,0.045454545454545456,0.0,0.9545454545454546,0.045454545454545456,1.0,0.045454545454545456,0.04132671338352231
2006,inflacion,47.0,5.0,0.0,42.0,0.10638297872340426,0.0,0.8936170212765957,0.10638297872340426,1.0,0.10638297872340426,0.05502507107910548
2006,mercado_laboral,47.0,1.0,0.0,46.0,0.02127659574468085,0.0,0.9787234042553191,0.02127659574468085,1.0,0.02127659574468085,0.027114456579438558
2006,mercados_financieros,102.0,4.0,0.0,98.0,0.0392156862745098,0.0,0.9607843137254902,0.0392156862745098,1.0,0.0392156862745098,0.04450036538785824
2006,opciones_tpm,55.0,4.0,2.0,49.0,0.07272727272727272,0.03636363636363636,0.8909090909090909,0.03636363636363636,0.3333333333333333,0.10909090909090909,0.07964939183419237
2006,otros,79.0,3.0,1.0,75.0,0.0379746835443038,0.012658227848101266,0.9493670886075949,0.02531645569620253,0.5,0.05063291139240506,0.034927757204648496
2006,politica_fiscal,15.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,,0.0,0.025752364462173147
2006,riesgos,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,-0.005302723942774426
2007,actividad_interna,39.0,0.0,0.0,39.0,0.0,0.0,1.0,0.0,,0.0,-0.0010420938380034466
2007,acuerdo_comunicado,154.0,46.0,5.0,103.0,0.2987012987012987,0.032467532467532464,0.6688311688311688,0.2662337662337662,0.803921568627451,0.33116883116883117,0.1606632427191419
2007,apertura_cierre,15.0,0.0,0.0,15.0,0.0,0.0,1.0,0.0,,0.0,-0.00030512693133955286
2007,debate,138.0,1.0,0.0,137.0,0.007246376811594203,0.0,0.9927536231884058,0.007246376811594203,1.0,0.007246376811594203,0.007774638615384187
2007,decision_tpm,36.0,12.0,3.0,21.0,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.25,0.6,0.4166666666666667,0.18725135177744845
2007,escenario_internacional,150.0,1.0,1.0,148.0,0.006666666666666667,0.006666666666666667,0.9866666666666667,0.0,0.0,0.013333333333333334,0.011606442818608833
2007,inflacion,57.0,1.0,2.0,54.0,0.017543859649122806,0.03508771929824561,0.9473684210526315,-0.017543859649122806,-0.3333333333333333,0.05263157894736842,0.01397095813835822
2007,mercado_laboral,40.0,3.0,0.0,37.0,0.075,0.0,0.925,0.075,1.0,0.075,0.03876205591319116
2007,mercados_financieros,129.0,4.0,2.0,123.0,0.031007751937984496,0.015503875968992248,0.9534883720930233,0.015503875968992248,0.3333333333333333,0.046511627906976744,0.013797629152252265
2007,opciones_tpm,26.0,2.0,2.0,22.0,0.07692307692307693,0.07692307692307693,0.8461538461538461,0.0,0.0,0.15384615384615385,0.01831368908196153
2007,otros,21.0,0.0,1.0,20.0,0.0,0.047619047619047616,0.9523809523809523,-0.047619047619047616,-1.0,0.047619047619047616,-0.019486459728710777
2007,politica_fiscal,9.0,0.0,1.0,8.0,0.0,0.1111111111111111,0.8888888888888888,-0.1111111111111111,-1.0,0.1111111111111111,-0.06465551602383222
2007,riesgos,4.0,0.0,0.0,4.0,0.0,0.0,1.0,0.0,,0.0,-0.016316045838234473
2008,actividad_interna,53.0,0.0,0.0,53.0,0.0,0.0,1.0,0.0,,0.0,-0.007877402781475881
2008,acuerdo_comunicado,177.0,50.0,6.0,121.0,0.2824858757062147,0.03389830508474576,0.6836158192090396,0.24858757062146894,0.7857142857142857,0.3163841807909605,0.16848873176381401
2008,apertura_cierre,12.0,0.0,0.0,12.0,0.0,0.0,1.0,0.0,,0.0,-0.0016561225404822125
