k,topico_local,terminos_top5,terminos_top20,prevalencia
6,k6_tema_01,politica | monetaria | politica monetaria | tasa | tasa politica,politica | monetaria | politica monetaria | tasa | tasa politica | mantener | mantener tasa | tasa interes | anual | interes | interes politica | comunicado | acordo | mensual politica | monetaria 25 | monetaria acordo | mensual | nivel | estrategia | acordo mantener,0.11098043029536578
16,k16_tema_09,ministro | hacienda | ministro hacienda | exposicion | da,ministro | hacienda | ministro hacienda | exposicion | da | votacion | subrogante | hacienda subrogante | asesor | reanuda politica | reanuda | incorporandose | 16 | da paso | paso | habiendo | 16 00 | informa ministro | asistira | 00,0.025324858589803777
16,k16_tema_10,precio | petroleo | cobre | precio petroleo | precios,precio | petroleo | cobre | precio petroleo | precios | precio cobre | caida | commodities | aumento | gasolina | alza | alimentos | us | combustibles | caida precio | internacional | mayor | importante | primas | materias,0.08000777540611648
16,k16_tema_11,cambio | tipo | tipo cambio | real | cambio real,cambio | tipo | tipo cambio | real | cambio real | apreciacion | depreciacion | dolar | nominal | peso | cambio nominal | apreciado | depreciacion tipo | nivel | apreciacion tipo | efectos | depreciado | proyeccion | mayor | podria,0.04868311926813605
16,k16_tema_12,plazo | tasas | corto | corto plazo | largo,plazo | tasas | corto | corto plazo | largo | tasas interes | largo plazo | interes | mediano | mediano plazo | interes largo | mediano largo | inflacion corto | bajas | anos | largas | tasas largas | niveles | tasas crecimiento | bonos,0.05475893957132491
16,k16_tema_13,meses | ultimos | ultimos meses | proximos | proximos meses,meses | ultimos | ultimos meses | proximos | proximos meses | doce | doce meses | tres | algunos | tres meses | algunos meses | anteriores | varios | seis | meses anteriores | variacion | previos | anos | meses previos | dias,0.0668943621405652
16,k16_tema_14,mes | ultimo | ultimo mes | ipom | ultimo ipom,mes | ultimo | ultimo mes | ipom | ultimo ipom | registro | diciembre | septiembre | anterior | enero | pasado | variacion | mes anterior | marzo | noticias | mayo | mes septiembre | mes enero | mes diciembre | junio,0.07600945705179156
16,k16_tema_15,mantener | tasa | mantener tasa | anual | tasa interes,mantener | tasa | mantener tasa | anual | tasa interes | interes | interes politica | acordo | comunicado | mensual politica | monetaria acordo | mensual | tasa politica | acordo mantener | voto | nivel | monetaria anual | voto mantener | monetaria 25 | comunicado mensual,0.04083711209542219
16,k16_tema_16,mercado | laboral | mercado laboral | empleo | desempleo,mercado | laboral | mercado laboral | empleo | desempleo | tasa | salarios | cuenta | tasa desempleo | creacion | dinamismo | trabajo | espera | asalariado | sigue | expectativas mercado | condiciones | evolucion | creacion empleo | expectativas,0.07812648774655763
18,k18_tema_01,politica | monetaria | politica monetaria | tasa politica | tasa,politica | monetaria | politica monetaria | tasa politica | tasa | estrategia | informe politica | informe | normalizacion | comunicacion | ultima politica | comunicacion politica | estrategia comunicacion | opciones politica | ultima | normalizacion politica | horizonte | opciones | horizonte politica | estudios opciones,0.05894972271239594
18,k18_tema_02,inflacion | expectativas | expectativas inflacion | meta | subyacente,inflacion | expectativas | expectativas inflacion | meta | subyacente | rango | medidas | horizonte | torno | inflacion subyacente | ipc | anual | precios | rango meta | inflacion anual | horizonte politica | encuesta | inflacionarias | baja | ancladas,0.0859709712069378
