meeting_id,fecha,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
RPM-2006-01-12,2006-01-12,2006,50.0,10.0,0.0,40.0,0.2,0.0,0.8,0.2,1.0,0.2,0.16029666310760424
RPM-2006-02-09,2006-02-09,2006,47.0,10.0,0.0,37.0,0.2127659574468085,0.0,0.7872340425531915,0.2127659574468085,1.0,0.2127659574468085,0.16735661013064965
RPM-2006-03-16,2006-03-16,2006,36.0,8.0,0.0,28.0,0.2222222222222222,0.0,0.7777777777777778,0.2222222222222222,1.0,0.2222222222222222,0.17623383264462059
RPM-2006-04-13,2006-04-13,2006,78.0,8.0,0.0,70.0,0.10256410256410256,0.0,0.8974358974358975,0.10256410256410256,1.0,0.10256410256410256,0.0993838101233682
RPM-2006-05-11,2006-05-11,2006,42.0,9.0,0.0,33.0,0.21428571428571427,0.0,0.7857142857142857,0.21428571428571427,1.0,0.21428571428571427,0.17648065353533887
RPM-2006-06-15,2006-06-15,2006,71.0,1.0,0.0,70.0,0.014084507042253521,0.0,0.9859154929577465,0.014084507042253521,1.0,0.014084507042253521,0.06491567316815312
RPM-2006-07-13,2006-07-13,2006,72.0,11.0,0.0,61.0,0.1527777777777778,0.0,0.8472222222222222,0.1527777777777778,1.0,0.1527777777777778,0.12520214246553862
RPM-2006-08-10,2006-08-10,2006,47.0,4.0,0.0,43.0,0.0851063829787234,0.0,0.9148936170212766,0.0851063829787234,1.0,0.0851063829787234,0.09026140523329948
RPM-2006-09-07,2006-09-07,2006,53.0,4.0,0.0,49.0,0.07547169811320754,0.0,0.9245283018867925,0.07547169811320754,1.0,0.07547169811320754,0.061963411493479136
RPM-2006-10-12,2006-10-12,2006,68.0,2.0,1.0,65.0,0.029411764705882353,0.014705882352941176,0.9558823529411765,0.014705882352941176,0.3333333333333333,0.04411764705882353,0.03503990592859911
RPM-2006-11-16,2006-11-16,2006,45.0,4.0,3.0,38.0,0.08888888888888889,0.06666666666666667,0.8444444444444444,0.022222222222222223,0.14285714285714285,0.15555555555555556,0.038097705522150485
RPM-2006-12-14,2006-12-14,2006,67.0,3.0,2.0,62.0,0.04477611940298507,0.029850746268656716,0.9253731343283582,0.014925373134328358,0.2,0.07462686567164178,0.015407708103772727
RPM-2007-01-11,2007-01-11,2007,53.0,2.0,10.0,41.0,0.03773584905660377,0.18867924528301888,0.7735849056603774,-0.1509433962264151,-0.6666666666666666,0.22641509433962265,-0.09204730035005132
RPM-2007-02-08,2007-02-08,2007,64.0,0.0,1.0,63.0,0.0,0.015625,0.984375,-0.015625,-1.0,0.015625,0.019764433558007725
RPM-2007-03-15,2007-03-15,2007,69.0,3.0,5.0,61.0,0.043478260869565216,0.07246376811594203,0.8840579710144928,-0.028985507246376812,-0.25,0.11594202898550725,-0.0070129487206588145
RPM-2007-04-12,2007-04-12,2007,73.0,5.0,1.0,67.0,0.0684931506849315,0.0136986301369863,0.9178082191780822,0.0547945205479452,0.6666666666666666,0.0821917808219178,0.02755107580122005
RPM-2007-05-10,2007-05-10,2007,52.0,3.0,0.0,49.0,0.057692307692307696,0.0,0.9423076923076923,0.057692307692307696,1.0,0.057692307692307696,0.06108684098322312
RPM-2007-06-14,2007-06-14,2007,63.0,6.0,0.0,57.0,0.09523809523809523,0.0,0.9047619047619048,0.09523809523809523,1.0,0.09523809523809523,0.06859268579893024
