tipo_actor,actor,anio,n_intervenciones,n_hawkish,n_dovish,n_neutral,proporcion_hawkish,proporcion_dovish,proporcion_neutral,tono_neto_general,balance_direccional,cobertura_direccional,score_hd_continuo_medio
miembro_consejo,Joaquín Vial Ruiz-Tagle,2015,66.0,5.0,0.0,61.0,0.07575757575757576,0.0,0.9242424242424242,0.07575757575757576,1.0,0.07575757575757576,0.02414098749957349
miembro_consejo,Jorge Desormeaux Jiménez,2005,32.0,11.0,0.0,21.0,0.34375,0.0,0.65625,0.34375,1.0,0.34375,0.2962171940947458
miembro_consejo,Jorge Desormeaux Jiménez,2006,29.0,7.0,1.0,21.0,0.2413793103448276,0.034482758620689655,0.7241379310344828,0.20689655172413793,0.75,0.27586206896551724,0.21962052244527536
miembro_consejo,Jorge Desormeaux Jiménez,2007,42.0,9.0,1.0,32.0,0.21428571428571427,0.023809523809523808,0.7619047619047619,0.19047619047619047,0.8,0.23809523809523808,0.15448786479853413
miembro_consejo,Jorge Desormeaux Jiménez,2008,61.0,10.0,1.0,50.0,0.16393442622950818,0.01639344262295082,0.819672131147541,0.14754098360655737,0.8181818181818182,0.18032786885245902,0.12351053156249839
miembro_consejo,Jorge Desormeaux Jiménez,2009,57.0,1.0,10.0,46.0,0.017543859649122806,0.17543859649122806,0.8070175438596491,-0.15789473684210525,-0.8181818181818182,0.19298245614035087,-0.07389204641791167
miembro_consejo,José De Gregorio Rebeco,2005,42.0,13.0,0.0,29.0,0.30952380952380953,0.0,0.6904761904761905,0.30952380952380953,1.0,0.30952380952380953,0.28476024219236473
miembro_consejo,José De Gregorio Rebeco,2006,39.0,7.0,0.0,32.0,0.1794871794871795,0.0,0.8205128205128205,0.1794871794871795,1.0,0.1794871794871795,0.1994196169412397
miembro_consejo,José De Gregorio Rebeco,2007,75.0,6.0,2.0,67.0,0.08,0.02666666666666667,0.8933333333333333,0.05333333333333334,0.5,0.10666666666666667,0.03679037909156009
miembro_consejo,José De Gregorio Rebeco,2008,216.0,12.0,1.0,203.0,0.05555555555555555,0.004629629629629629,0.9398148148148148,0.05092592592592592,0.8461538461538461,0.06018518518518518,0.03974479833043992
miembro_consejo,José De Gregorio Rebeco,2009,223.0,0.0,14.0,209.0,0.0,0.06278026905829596,0.9372197309417041,-0.06278026905829596,-1.0,0.06278026905829596,-0.031852568161000606
miembro_consejo,José De Gregorio Rebeco,2010,233.0,12.0,0.0,221.0,0.05150214592274678,0.0,0.9484978540772532,0.05150214592274678,1.0,0.05150214592274678,0.03798423216663607
miembro_consejo,José De Gregorio Rebeco,2011,219.0,9.0,0.0,210.0,0.0410958904109589,0.0,0.958904109589041,0.0410958904109589,1.0,0.0410958904109589,0.02743796144085872
miembro_consejo,Manuel Marfán Lewis,2005,69.0,12.0,0.0,57.0,0.17391304347826086,0.0,0.8260869565217391,0.17391304347826086,1.0,0.17391304347826086,0.15610851512817922
miembro_consejo,Manuel Marfán Lewis,2006,97.0,10.0,0.0,87.0,0.10309278350515463,0.0,0.8969072164948454,0.10309278350515463,1.0,0.10309278350515463,0.09457662257485223
miembro_consejo,Manuel Marfán Lewis,2007,100.0,8.0,0.0,92.0,0.08,0.0,0.92,0.08,1.0,0.08,0.07310348758085718
miembro_consejo,Manuel Marfán Lewis,2008,109.0,9.0,0.0,100.0,0.08256880733944955,0.0,0.9174311926605505,0.08256880733944955,1.0,0.08256880733944955,0.0673527535124383
miembro_consejo,Manuel Marfán Lewis,2009,103.0,2.0,8.0,93.0,0.019417475728155338,0.07766990291262135,0.9029126213592233,-0.05825242718446602,-0.6,0.0970873786407767,-0.040421444029236975
miembro_consejo,Manuel Marfán Lewis,2010,115.0,8.0,1.0,106.0,0.06956521739130435,0.008695652173913044,0.9217391304347826,0.06086956521739131,0.7777777777777778,0.0782608695652174,0.047484072110124134
miembro_consejo,Manuel Marfán Lewis,2011,100.0,6.0,2.0,92.0,0.06,0.02,0.92,0.04,0.5,0.08,0.030561218925599456
miembro_consejo,Manuel Marfán Lewis,2012,83.0,0.0,2.0,81.0,0.0,0.024096385542168676,0.9759036144578314,-0.024096385542168676,-1.0,0.024096385542168676,-0.022898492682723655
miembro_consejo,Manuel Marfán Lewis,2013,79.0,0.0,10.0,69.0,0.0,0.12658227848101267,0.8734177215189873,-0.12658227848101267,-1.0,0.12658227848101267,-0.08236283019889655
miembro_consejo,Mario Marcel Cullell,2015,10.0,1.0,1.0,8.0,0.1,0.1,0.8,0.0,0.0,0.2,-0.019925262039800024
miembro_consejo,María Elena Ovalle Molina,2005,17.0,11.0,0.0,6.0,0.6470588235294118,0.0,0.35294117647058826,0.6470588235294118,1.0,0.6470588235294118,0.5652687220948985
