intervencion_id,meeting_id,fecha,anio,actor,cargo,grupo_actor,topico,keywords,largo_palabras,flag_cotejo,detalle_cotejo,texto
RPM-2006-01-12:527:1,RPM-2006-01-12,2006-01-12,2006,Consejo del Banco Central de Chile,Consejo,consejo_entidad,apertura_cierre,apertura_cierre,232,True,NOMBRE_PROPIO_POR_COTEJAR,"ACTA CORRESPONDIENTE A LA SESIÓN DE POLÍTICA MONETARIA N° 87 celebrada el 12 de enero de 2006 En Santiago de Chile, a 12 de enero de 2006, siendo las 11:30 horas, se reúne el Consejo del Banco Central de Chile, bajo la presidencia del titular don Vittorio Corbo Lioi y con la asistencia del Vicepresidente don José De Gregorio Rebeco y de los Consejeros don Jorge Desormeaux Jiménez, don Manuel Marfán Lewis y don Enrique Marshall Rivera. Asiste el señor Ministro de Hacienda, don Nicolás Eyzaguirre Guzmán. Asisten también: Fiscal y Ministro de Fe Subrogante, don Juan Esteban Laval Zaldivar; Gerente General Interino, don Leonardo Hernández Tagle; Gerente de División Estudios, don Rodrigo Valdés Pulido; Gerente de División Operaciones Financieras, don Esteban Jadresic Marinovic; Gerente de División Política Financiera, don Luis Óscar Herrera Barriga; Gerente de Análisis Internacional, don Sergio Lehmann Beresi; Gerente de Análisis Macroeconómico, don Pablo García Silva; Gerente de Investigación Económica, don Klaus Schmidt-Hebbel Dunker; Gerente de Información e Investigación Estadística, don Ricardo Vicuña Poblete; Gerente de Comunicaciones, don Eduardo Arriagada Cardini; Gerente de Mercados Financieros Nacionales, don Beltrán De Ramón Acevedo; Asesora Macroeconómica del Ministerio de Hacienda, doña Bernardita Piedrabuena Keymer; Jefe Departamento Análisis de Coyuntura, don Enrique Orellana Cifuentes; Economista Sénior Gerencia de Investigación Económica; don Claudio Soto Gamboa; y Secretario General, don Jorge Court Larenas. Fecha Sesión de Política Monetaria del mes de julio de 2006."
RPM-2006-01-12:571:1,RPM-2006-01-12,2006-01-12,2006,Jorge Desormeaux Jiménez,Consejero,consejo_votante,decision_tpm,decision_tpm,779,True,RECONSTRUCCION_AMBIGUA_POR_COTEJAR,"El Consejero señor Jorge Desormeaux, manifiesta que en el Informe que ha entregado la Gerencia de División Estudios se señala, que desde la última reunión de política monetaria se han afianzado las favorables condiciones externas tanto en materia de actividad como de condiciones financieras y, en el plano interno, nos indica que la información más reciente sugiere que la desaceleración del tercer trimestre tenga un carácter transitorio, aunque en un plazo más largo la economía, se encamina hacia un crecimiento más cercano al potencial. Las condiciones financieras en Chile, por su parte, siguen siendo considerablemente expansivas, lo que se ve reflejado en un aumento del ritmo de crecimiento del crédito, mientras los agregados monetarios han vuelto a crecer a tasas muy elevadas. En el plano de los costos, la tasa de crecimiento de los costos laborales unitarios sigue aumentando, reflejando una aceleración en el crecimiento de las remuneraciones y una menor expansión de la productividad. No obstante esto, las mediciones de inflación subyacentes así como las expectativas de inflación a plazos largos convergen al centro del rango meta. Ello se relaciona sin duda con la credibilidad que tiene el compromiso de este Banco Central con su meta inflacionaria, después de cinco alzas de tasas consecutivas interrumpidas por una pausa en la reunión anterior. La posibilidad de cumplir con este compromiso por cierto, depende criticamente de la trayectoria futura de la tasa de política monetaria. Señala que de acuerdo a las estimaciones de la Gerencia de División Estudios, la trayectoria de la tasa de política monetaria que garantiza una convergencia de la inflación a la meta en nuestro horizonte de proyecciones, consulta alrededor de cinco alzas de 25 puntos base en los próximos doce meses y otras cuatro alzas de 25 puntos base, en los siguientes doce meses. Para los próximos doce meses entonces, la velocidad de ajuste promedio debería ser una de algo más de 30 puntos base por trimestre, o sea, un poco más de un alza de 25 puntos base por trimestre: ello sería consistente con la posibilidad de que, en esta ocasión, el Banco Central adopte una pausa detrás de otra pausa. Sin embargo, el Consejero señor Desormeaux cree que hay buenas razones para pensar que esa no es la decisión ideal. En primer lugar, porque si bien las condiciones internas y externas han cambiado respecto de los últimos trimestres del año pasado, no es fácil explicar dos pausas seguidas después de cinco alzas consecutivas. Señala, que esta acotación ha sido repetida por varios participantes en esta reunión y a ello se suma el hecho de que los agregados monetarios y el crédito se muestran algo exuberantes, lo que da cuenta del riesgo de que la política monetaria esté siendo más expansiva de lo que supone nuestro escenario central. Una evidencia en tal sentido, es la fuerte expansión que muestran las ventas de viviendas en los últimos meses. Otros riesgos que apuntan en esa misma dirección, se refieren a la disminución prevista para el precio del petróleo. Agrega el señor Desormeaux, que la hipótesis de nuestro escenario central podría no materializarse, y ello ocurre en el momento en que se empiezan a copar las holguras de capacidad en economía y los costos laborales unitarios se aceleran. Ello nos lleva a pensar que los riesgos de la opción de mantener la tasa de política monetaria en el día de hoy son algo mayores que los de la opción alternativa, pero tal vez el argumento que más peso tiene en favor del alza de 25 puntos base en la reunión de hoy es de carácter comunicacional, como dice acertadamente la Gerencia de División Estudios. Hace presente que recientemente el Gerente de Mercados Financieros Nacionales señaló que el paso del ritmo de ajuste de cinco pausas consecutivas a uno de dos pausas seguidas no es fácil de explicar. Ello puede entenderse equivocadamente como un cambio de objetivos de parte del Banco Central de Chile, en reacción a noticias transitorias y todo esto, en un momento en que los antecedentes disponibles apuntan a un fortalecimiento de las condiciones internas y externas de la economía chilena. Por último, el Consejero señor Jorge Desormeaux señala, que para finalizar se quiere referir a las expectativas de mercado, que mayoritariamente esperan un alza de la tasa de política monetaria, y desde este punto de vista la mantención de la tasa de política monetaria en el día de hoy tendrá el carácter de una sorpresa, que podría crear confusión en el mercado. Por estas razones, se inclina a favor de la opción de aumentar la tasa de política monetaria en 25 puntos base, en el día de hoy y, por consiguiente, vota en tal sentido."
RPM-2006-02-09:587:9,RPM-2006-02-09,2006-02-09,2006,Consejo del Banco Central de Chile,Consejo,consejo_entidad,opciones_tpm,opciones_tpm,13,False,,"Siendo las 16:00 horas, se reanuda la Sesión de Política Monetaria N° 89."
RPM-2006-03-16:601:2,RPM-2006-03-16,2006-03-16,2006,Pablo García Silva,Gerente de Análisis Macroeconómico,staff_tecnico,mercados_financieros,mercados_financieros,613,False,,"quien señala que durante el último mes, las condiciones
monetarias no muestran cambios significativos. Las tasas de interés reajustables de largo plazo
están en niveles similares a los vigentes al momento de la reunión pasada, y las tasas de
crecimiento anual de los distintos agregados monetarios y crediticios no sufrieron cambios
importantes, manteniéndose en niveles elevados. Sin embargo, el señor Gerente destacó el
incremento de las tasas de interés de créditos a personas y empresas. En particular, las de
consumo aumentaron 120 puntos base en febrero, ubicándose en niveles no vistos desde
comienzos del 2003. El tipo de cambio real se ubica actualmente en niveles algo por encima de
los observados hace un mes. En el transcurso de febrero, la paridad nominal se apreció hasta valores cercanos a $ 515 por dólar, volviendo a situarse algo por sobre $ 530 por dólar en lo
más reciente.
La demanda interna se prevé que sigue disminuyendo su ritmo de crecimiento, aunque desde
niveles que ahora se estiman mayores que hace un mes.
Los indicadores parciales de
consumo privado para el primer bimestre indican que las tendencias globales previstas se
mantienen, esto es una desaceleración del fuerte crecimiento del componente durable y una
mantención del habitual. La inversión, en cambio, pareciera estar desacelerándose de manera
algo más pronunciada que la prevista. En cuanto al comercio exterior, las cuentas nacionales
del 2005 y la información acumulada en el último mes redujeron el crecimiento estimado para el
volumen de las exportaciones industriales en el trimestre en curso, revirtiendo la corrección al
alza considerada el último mes.
En cuanto a la actividad, el cierre preliminar de las cuentas nacionales para el 2005 arrojó un
crecimiento del PIB igual al considerado en el escenario base del IPoM de enero. Señala el
señor García que, en enero destacó el crecimiento de la actividad industrial, el que siguió
reafirmando la transitoriedad de la desaceleración de parte del tercer trimestre del año pasado.
La actividad minera volvió a anotar caídas anuales, esta vez por la distribución de la producción
hacia productos de menor valor agregado.
Respecto de los precios, en febrero la inflación del IPCX1 siguió en línea con el escenario base
del IPoM de enero.
Al mismo tiempo, la velocidad de expansión anualizada del IPCX1 se
mantiene desde mediados del 2005 en cifras del orden de 3%. La inflación IPC, en cambio,
volvió a sorprender en febrero, esta vez con una diferencia a la baja importante respecto de lo
proyectado. Una vez más, el precio efectivo del petróleo y sus derivados fue la fuente principal
de discrepancia. Respecto de los costos laborales, en enero la tasa de crecimiento anual de las
medidas de CMO cayeron, comportamiento esperado dado el efecto sobre la base del 2005 del
cambio legal en la jornada. El incremento en doce meses de los CLU, por el contrario, volvió a
aumentar, situándose cercano a 3%, reflejo del sostenido crecimiento del empleo asalariado y
su efecto en la productividad.
Las expectativas de mercado que se deducen para la TPM a partir de la curva forward
disminuyeron levemente en el mes, esperándose que a julio la TPM se ubique en 5,25%. Para
fines de año, se prevé una TPM de 5,6% (5,8% el mes pasado). Un panorama similar señala la
EEE, con una mantención de la TPM este mes y una tasa en 5,5% a fines de año.
La
compensación inflacionaria se mantuvo en torno a 3% en el curso del mes, aunque con
movimientos pequeños en sus distintos plazos. Las encuestas a mesas de dineros tampoco
tuvieron cambios relevantes y la inflación esperada en la EEE bajó marginalmente para fines de
año, mientras a dos años sigue en 3%."
RPM-2006-04-13:632:2,RPM-2006-04-13,2006-04-13,2006,Andrés Velasco Brañes,Ministro de Hacienda,ministro_hacienda,escenario_internacional,escenario_internacional,22,False,,"Por otra parte, el señor Ministro de Hacienda consulta si la explicación del alza en el EMBI es solamente tasa de interés."
RPM-2006-04-13:643:2,RPM-2006-04-13,2006-04-13,2006,Rodrigo Valdés Pulido,Gerente de División Estudios,staff_tecnico,mercados_financieros,mercados_financieros,34,False,,"Hace presente el Gerente de División Estudios, que estos escenarios se pueden revisar para el IPoM. Agrega que el otro problema es que si se gatillan o no cláusulas de reajustabilidad en algunos sectores."
RPM-2006-04-13:644:3,RPM-2006-04-13,2006-04-13,2006,Vittorio Corbo Lioi,Presidente del Banco Central,consejo_votante,opciones_tpm,opciones_tpm,23,False,,"A continuación, el Presidente, don Vittorio Corbo, solicita al Gerente de División Estudios, don Rodrigo Valdés, que presente las Opciones de Política Monetaria."
RPM-2006-04-13:644:8,RPM-2006-04-13,2006-04-13,2006,Klaus Schmidt-Hebbel Dunker,Gerente de Investigación Económica,staff_tecnico,opciones_tpm,opciones_tpm,50,False,,"El señor Schmidt-Hebbel, responde al señor Consejero, que el aumento del ingreso disponible privado se basa en estimaciones presentadas en una minuta de la División Estudios de hace dos semanas atrás, que mide el impacto de alzas en el precio del cobre y del petróleo sobre el ingreso disponible privado."
RPM-2006-06-15:691:1,RPM-2006-06-15,2006-06-15,2006,Beltrán de Ramón Acevedo,Gerente de Mercados Financieros Nacionales,staff_tecnico,mercados_financieros,mercados_financieros,56,False,,"El Gerente de Mercados Financieros Nacionales señor Beltrán De Ramón, indica
que sorprende la caída en el precio del cobre tras el dólar, pero si uno observa en perspectiva,
el precio del cobre está bastante cercano a los niveles de abril, en cambio el IPSA está en
niveles de principios enero, por el tipo de cambio."
RPM-2006-06-15:715:1,RPM-2006-06-15,2006-06-15,2006,José De Gregorio Rebeco,Vicepresidente del Banco Central,consejo_votante,otros,otros,37,False,,"El Vicepresidente señor De Gregorio, señala sobre el mismo tema que con la
muestra nueva ésta va a mostrar mayor crecimiento del empleo porque la muestra es distinta,
pero también va a mostrar mayores tasas de desempleo."
RPM-2006-06-15:718:1,RPM-2006-06-15,2006-06-15,2006,José De Gregorio Rebeco,Vicepresidente del Banco Central,consejo_votante,otros,otros,29,False,,"El Vicepresidente señor De Gregorio, señala que las muestras se están
cambiando, y agrega que si no sucede algún cambio de aquí a seis meses van coexistir ambas
muestras."
RPM-2006-07-13:745:6,RPM-2006-07-13,2006-07-13,2006,Sergio Lehmann Beresi,Gerente de Análisis Internacional,staff_tecnico,escenario_internacional,escenario_internacional,67,False,,"El Gerente señor Lehmann expresa que ese temor ciertamente se mantiene. Agrega, que además desde hace un tiempo las refinerías están operando con márgenes de capacidad bastante estrechos, por una subinversión en ese rubro, y ello ha llevado a una vulnerabilidad en esa área, producto de situaciones no previstas y eso hace que el crackspread refleje tal vez niveles más altos que lo observado en el pasado."
