fold,variante,n_train_a,n_train_b,n_train_hd,vocabulario_a,vocabulario_palabras,vocabulario_caracteres,accuracy,macro_f1,f1_hawkish,f1_dovish,f1_neutral,recall_hawkish,recall_dovish,recall_neutral,precision_hawkish,precision_dovish,precision_neutral,n_hawkish,n_dovish,n_neutral,f1_hd,recall_hd_balanceado,acierto_sobre_hd,n_hd,errores,errores_hd,neutral_a_direccion,direccion_a_neutral
3,B2_lr_mixta,1178,962,175,4482,37233,23675,0.89937106918239,0.7405404202279202,0.7222222222222222,0.5384615384615384,0.9609375,0.8125,0.5,0.9534883720930233,0.65,0.5833333333333334,0.968503937007874,16,14,129,0.6303418803418803,0.65625,0.6666666666666666,30,16,6,6,4
3,B3_svm_mixta,1178,962,175,4482,37233,23675,0.89937106918239,0.7184190011776219,0.7428571428571429,0.45454545454545453,0.9578544061302682,0.8125,0.35714285714285715,0.9689922480620154,0.6842105263157895,0.625,0.946969696969697,16,14,129,0.5987012987012987,0.5848214285714286,0.6,30,16,5,4,7
3,B4_jerarquica,1178,962,175,4482,37233,0,0.9056603773584906,0.7644257703081233,0.6857142857142857,0.6428571428571429,0.9647058823529412,0.75,0.6428571428571429,0.9534883720930233,0.631578947368421,0.6428571428571429,0.9761904761904762,16,14,129,0.6642857142857144,0.6964285714285714,0.7,30,15,6,6,3
4,H0_historica,1193,962,180,4440,37080,0,0.8805031446540881,0.7038169066076043,0.6857142857142857,0.48,0.9457364341085271,0.7058823529411765,0.75,0.9104477611940298,0.6666666666666666,0.35294117647058826,0.9838709677419355,17,8,134,0.5828571428571429,0.7279411764705883,0.72,25,19,5,12,2
4,B0_limpia,1183,959,180,4439,37074,0,0.8930817610062893,0.7199095022624435,0.7058823529411765,0.5,0.9538461538461539,0.7058823529411765,0.75,0.9253731343283582,0.7058823529411765,0.375,0.9841269841269841,17,8,134,0.6029411764705883,0.7279411764705883,0.72,25,17,5,10,2
4,B1_svm,1183,959,180,4439,37074,0,0.9119496855345912,0.739196175982831,0.6666666666666666,0.5882352941176471,0.9626865671641791,0.6470588235294118,0.625,0.9626865671641791,0.6875,0.5555555555555556,0.9626865671641791,17,8,134,0.6274509803921569,0.6360294117647058,0.64,25,14,4,5,5
4,B2_lr_mixta,1183,959,180,4439,37074,23584,0.8867924528301887,0.7003016591251886,0.6470588235294118,0.5,0.9538461538461539,0.6470588235294118,0.75,0.9253731343283582,0.6470588235294118,0.375,0.9841269841269841,17,8,134,0.5735294117647058,0.6985294117647058,0.68,25,18,6,10,2
4,B3_svm_mixta,1183,959,180,4439,37074,23584,0.9182389937106918,0.764522973368452,0.7058823529411765,0.625,0.9626865671641791,0.7058823529411765,0.625,0.9626865671641791,0.7058823529411765,0.625,0.9626865671641791,17,8,134,0.6654411764705883,0.6654411764705883,0.68,25,13,3,5,5
4,B4_jerarquica,1183,959,180,4439,37074,0,0.8742138364779874,0.6771502399409376,0.6857142857142857,0.4,0.9457364341085271,0.7058823529411765,0.625,0.9104477611940298,0.6666666666666666,0.29411764705882354,0.9838709677419355,17,8,134,0.5428571428571429,0.6654411764705883,0.68,25,20,6,12,2
5,H0_historica,1194,958,180,4450,36379,0,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133,0.7321428571428572,0.7662337662337663,0.76,25,11,3,5,3
5,B0_limpia,1183,958,180,4450,36379,0,0.930379746835443,0.8113275613275613,0.7142857142857143,0.75,0.9696969696969697,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6923076923076923,0.9770992366412213,14,11,133,0.7321428571428572,0.7662337662337663,0.76,25,11,3,5,3
5,B1_svm,1183,958,180,4450,36379,0,0.9240506329113924,0.7699396489119273,0.7586206896551724,0.5882352941176471,0.9629629629629629,0.7857142857142857,0.45454545454545453,0.9774436090225563,0.7333333333333333,0.8333333333333334,0.948905109489051,14,11,133,0.6734279918864097,0.6201298701298701,0.64,25,12,2,3,7
5,B2_lr_mixta,1183,958,180,4450,36379,23421,0.930379746835443,0.794507597953045,0.7142857142857143,0.6956521739130435,0.9735849056603774,0.7142857142857143,0.7272727272727273,0.9699248120300752,0.7142857142857143,0.6666666666666666,0.9772727272727273,14,11,133,0.7049689440993789,0.7207792207792207,0.72,25,11,4,4,3
5,B3_svm_mixta,1183,958,180,4450,36379,23421,0.9240506329113924,0.760239665380032,0.7586206896551724,0.5555555555555556,0.966542750929368,0.7857142857142857,0.45454545454545453,0.9774436090225563,0.7333333333333333,0.7142857142857143,0.9558823529411765,14,11,133,0.657088122605364,0.6201298701298701,0.64,25,12,3,3,6
5,B4_jerarquica,1183,958,180,4450,36379,0,0.930379746835443,0.8025565815679884,0.7142857142857143,0.72,0.973384030418251,0.7142857142857143,0.8181818181818182,0.9624060150375939,0.7142857142857143,0.6428571428571429,0.9846153846153847,14,11,133,0.7171428571428571,0.7662337662337663,0.76,25,11,4,5,2
